experiment,model,prediction_draws,average_hits,top10_average_hits,top12_average_hits,brier,log_loss,mean_probability_sum,hits_difference_vs_full,brier_difference_vs_full
full,FullFeatureLogistic,1648,0.7524271844660194,1.2694174757281553,1.5388349514563107,0.10816424964464699,0.37533077920950664,6.0,0.0,0.0
drop_long_z,drop_long_z,1648,0.7305825242718447,1.2451456310679612,1.5012135922330097,0.10791549640911462,0.3739967298752103,6.0,-0.021844660194174748,-0.0002487532355323757
drop_recent20_z,drop_recent20_z,1648,0.7493932038834952,1.2742718446601942,1.5309466019417475,0.10816815777646972,0.37536164717910114,6.0,-0.0030339805825242427,3.908131822730199e-06
drop_recent50_z,drop_recent50_z,1648,0.7609223300970874,1.2578883495145632,1.5224514563106797,0.10817012359689733,0.37536357935542175,6.0,0.008495145631068013,5.8739522503376e-06
drop_recent100_z,drop_recent100_z,1648,0.7433252427184466,1.266990291262136,1.5242718446601942,0.10806456374843186,0.3748413183832482,6.0,-0.00910194174757284,-9.968589621513202e-05
drop_ewma_z,drop_ewma_z,1648,0.7524271844660194,1.2797330097087378,1.5364077669902914,0.108156961191015,0.3753086404984376,6.0,0.0,-7.288453631987268e-06
drop_gap_z,drop_gap_z,1648,0.7548543689320388,1.2694174757281553,1.5175970873786409,0.10817117657525155,0.37537336097865504,6.0,0.0024271844660194164,6.92693060455607e-06
drop_transition_z,drop_transition_z,1648,0.7536407766990292,1.266990291262136,1.5388349514563107,0.10816265315156529,0.3753283749801218,6.0,0.0012135922330097637,-1.5964930817069511e-06
drop_in_last_draw,drop_in_last_draw,1648,0.7560679611650486,1.2536407766990292,1.5218446601941749,0.10815721004605204,0.3752963583438568,6.0,0.00364077669902918,-7.039598594951735e-06
drop_number_onehot,drop_number_onehot,1648,0.7172330097087378,1.2263349514563107,1.4411407766990292,0.10751125903828963,0.37204177311918407,6.0,-0.03519417475728159,-0.0006529906063573593
only_last_draw,only_last_draw,1648,0.7129854368932039,1.2172330097087378,1.4641990291262137,0.10747255923844336,0.37186065867689544,6.0,-0.03944174757281549,-0.000691690406203635
only_long_frequency,only_long_frequency,1648,0.7117718446601942,1.229368932038835,1.4775485436893203,0.10746580945644217,0.37182532370683335,6.0,-0.04065533980582525,-0.0006984401882048213
only_recent_frequency,only_recent_frequency,1648,0.745752427184466,1.2536407766990292,1.5060679611650485,0.107462058501264,0.3718085000635563,6.0,-0.006674757281553423,-0.0007021911433829908
only_gap,only_gap,1648,0.7451456310679612,1.2506067961165048,1.5030339805825244,0.10745522155452529,0.3717761546947701,6.0,-0.007281553398058249,-0.0007090280901217022
only_transition,only_transition,1648,0.7087378640776699,1.1899271844660195,1.4508495145631068,0.10746062349179766,0.37180141511623926,6.0,-0.043689320388349495,-0.0007036261528493293
without_last_information,without_last_information,1648,0.716626213592233,1.2069174757281553,1.4550970873786409,0.1075006640809349,0.3719898186426675,6.0,-0.03580097087378642,-0.0006635855637120991
without_cold_information,without_cold_information,1648,0.7427184466019418,1.2214805825242718,1.4733009708737863,0.10750871277187679,0.37202919440995824,6.0,-0.009708737864077666,-0.0006555368727702016
