model,prediction_draws,average_hits,top10_average_hits,top12_average_hits,brier,log_loss,mean_probability_sum,raw_exact_p,normal_approx_p,bonferroni_p,holm_p,fdr_bh_p,simulation_familywise_p,paired_bootstrap_mean_hit_diff_ci_low,paired_bootstrap_mean_hit_diff_ci_high,block20_bootstrap_diff_ci_low,block20_bootstrap_diff_ci_high,brier_difference_vs_uniform,log_loss_difference_vs_uniform,calibration_intercept,calibration_slope,expected_calibration_error
Recent50HotBaseline,1648,0.7682038834951457,1.2475728155339805,1.4848300970873787,0.10915284977335495,0.38071221121513565,6.0,0.03860875957989969,0.038049653286864396,0.7721751915979937,0.7721751915979937,0.7721751915979937,0.025974025974025976,-0.004111353279175741,0.07113136516742621,-0.004111353279175743,0.06809738458490194,0.0016976227846002695,0.008936031271682798,-2.0024992596081828,-0.016316552255297646,0.026373728786144957
NumberOnlyLogistic,1648,0.7554611650485437,1.2269417475728155,1.4690533980582525,0.10765344733407337,0.3727086659943975,6.0,0.13730364107993853,0.13717280274404264,1.0,1.0,0.9378261261147953,0.025974025974025976,-0.01624727560927283,0.059602238953833965,-0.0168692416286903,0.05960223895383397,0.00019822034531868926,0.0009324860509446475,-1.9327523210423174,0.01880307052053582,0.0028695544658030783
FullFeatureLogistic,1648,0.7524271844660194,1.2694174757281553,1.5388349514563107,0.10816424964464699,0.37533077920950664,6.0,0.17580085479531932,0.17591512112925622,1.0,1.0,0.9378261261147953,0.025974025974025976,-0.02049484842480681,0.0553546661383,-0.021101644541311658,0.05658342827422211,0.0007090226558923163,0.0035545992660537817,-1.8619393950373488,0.05384744071463202,0.017135193772436833
ColdNumberBaseline,1648,0.7493932038834952,1.2408980582524272,1.4641990291262137,0.19124500625245147,0.7336039588074288,6.0,0.22056193417440187,0.22095247299535414,1.0,1.0,0.9378261261147953,0.025974025974025976,-0.021101644541311658,0.05110709332276602,-0.020494848424806807,0.04625272439072717,0.0837897792636968,0.36182777886397594,-1.949989869247693,0.0055565781334257856,0.19095749950465624
GapOnlyLogistic,1648,0.7451456310679612,1.2506067961165048,1.5030339805825244,0.10745522155452529,0.3717761546947701,6.0,0.2930988180149705,0.29387830906329737,1.0,1.0,0.9378261261147953,0.025974025974025976,-0.025956013473350494,0.04685952050723204,-0.0259560134733505,0.0420051515751932,-5.434229385925526e-09,-2.5248682755663054e-08,-0.4037749921365669,0.7952110618927488,0.0
RepeatLastDrawBaseline,1648,0.741504854368932,1.2257281553398058,1.454490291262136,0.19424376170123295,0.7444773225304007,6.0,0.363007500501421,0.3640657156385979,1.0,1.0,0.9378261261147953,0.025974025974025976,-0.030810382405389324,0.04382553992470775,-0.03203914454131166,0.040184763225678634,0.08678853471247827,0.3727011425869478,-1.9637169665510439,0.0016768691248098436,0.1931414095259661
Recent100HotBaseline,1648,0.7366504854368932,1.2433252427184467,1.4842233009708738,0.10834325434537795,0.37606616576856133,6.0,0.46355012837195675,0.46481565546194753,1.0,1.0,0.9378261261147953,0.025974025974025976,-0.03384436298791361,0.03775757875965921,-0.0326307707549039,0.0353303942936398,0.0008880273566232721,0.004289985825108478,-2.0303638548129337,-0.030458805314677023,0.01604922908335119
RandomForest_r100,1648,0.7342233009708737,1.203883495145631,1.4399271844660195,0.10749999273929257,0.37197518845083555,6.0,0.5152104578305651,0.5164887862045517,1.0,1.0,0.9378261261147953,0.025974025974025976,-0.03567992124034078,0.0353303942936398,-0.03687834357043787,0.032296413711115524,4.4765750537897886e-05,0.00019900850738269193,-1.948045040989468,0.010839109466782322,0.00010622925823473031
EWMA,1648,0.7257281553398058,1.1978155339805825,1.4496359223300972,0.11020024238450112,0.3860554783799961,6.0,0.6888862010103214,0.6897437577322577,1.0,1.0,0.9378261261147953,0.025974025974025976,-0.04476669308500099,0.026835248662571833,-0.04355310085199128,0.023801268080047566,0.002745015395746439,0.014279298436543242,-2.0224747154544613,-0.02561168674218354,0.03789614731191459
Recent20HotBaseline,1648,0.7245145631067961,1.204490291262136,1.4514563106796117,0.11196390423640232,0.4006393696654316,6.0,0.7114897653288829,0.7122432385198949,1.0,1.0,0.9378261261147953,0.025974025974025976,-0.046587081434515544,0.026228452546066983,-0.04355310085199127,0.02440806419655242,0.004508677247647641,0.028863189721978766,-2.016857941081703,-0.02180723823155734,0.04386165200179538
