variant,numbers,jaccard_vs_reference,min_history,C,removed_draws,bootstrap_iteration
reference,1 28 44 36 43 22,1.0,,,,
min_history_30,1 28 44 36 43 22,1.0,30.0,,,
min_history_60,1 28 36 44 43 4,0.7142857142857143,60.0,,,
min_history_150,28 1 36 23 44 4,0.5,150.0,,,
min_history_300,28 1 36 44 4 23,0.5,300.0,,,
C_0.01,5 1 22 47 15 27,0.2,,0.01,,
C_0.03,1 28 22 47 44 15,0.5,,0.03,,
C_0.1,28 1 44 22 47 36,0.7142857142857143,,0.1,,
C_0.2,1 28 44 36 43 22,1.0,,0.2,,
C_0.5,28 1 44 36 43 22,1.0,,0.5,,
C_1.0,28 1 44 36 43 22,1.0,,1.0,,
C_3.0,28 1 44 36 43 22,1.0,,3.0,,
C_10.0,28 1 44 36 43 22,1.0,,10.0,,
drop_last_1,28 1 44 43 23 36,0.7142857142857143,,,1.0,
drop_last_2,28 1 44 23 36 22,0.7142857142857143,,,2.0,
drop_last_5,28 1 36 44 23 24,0.5,,,5.0,
drop_last_10,1 28 39 44 24 31,0.3333333333333333,,,10.0,
draw_bootstrap_1,1 28 39 38 42 16,0.2,,,,1.0
draw_bootstrap_2,1 36 5 15 23 27,0.2,,,,2.0
draw_bootstrap_3,23 15 4 1 44 5,0.2,,,,3.0
draw_bootstrap_4,39 36 43 1 9 28,0.5,,,,4.0
draw_bootstrap_5,1 28 15 47 42 48,0.2,,,,5.0
draw_bootstrap_6,15 1 44 31 43 12,0.3333333333333333,,,,6.0
draw_bootstrap_7,31 28 23 27 24 43,0.2,,,,7.0
draw_bootstrap_8,28 16 22 31 27 47,0.2,,,,8.0
draw_bootstrap_9,28 15 45 44 1 43,0.5,,,,9.0
draw_bootstrap_10,45 31 15 47 1 5,0.09090909090909091,,,,10.0
draw_bootstrap_11,28 47 1 25 5 31,0.2,,,,11.0
draw_bootstrap_12,31 43 44 42 28 38,0.3333333333333333,,,,12.0
draw_bootstrap_13,28 13 1 48 36 23,0.3333333333333333,,,,13.0
draw_bootstrap_14,1 36 44 31 47 48,0.3333333333333333,,,,14.0
draw_bootstrap_15,39 44 1 36 42 24,0.3333333333333333,,,,15.0
draw_bootstrap_16,28 47 48 43 39 23,0.2,,,,16.0
draw_bootstrap_17,38 47 1 16 23 4,0.09090909090909091,,,,17.0
draw_bootstrap_18,28 43 31 25 22 27,0.3333333333333333,,,,18.0
draw_bootstrap_19,28 1 15 9 48 42,0.2,,,,19.0
draw_bootstrap_20,28 1 43 38 44 9,0.5,,,,20.0
draw_bootstrap_21,4 24 1 9 25 12,0.09090909090909091,,,,21.0
draw_bootstrap_22,12 4 36 1 48 31,0.2,,,,22.0
draw_bootstrap_23,10 28 1 44 36 23,0.5,,,,23.0
draw_bootstrap_24,28 1 49 48 27 18,0.2,,,,24.0
draw_bootstrap_25,1 38 43 28 47 23,0.3333333333333333,,,,25.0
