year,predictions,average_hits,brier,log_loss,hit_difference_vs_theory,brier_difference_vs_uniform,log_loss_difference_vs_uniform
2011,22,0.6363636363636364,0.10808211619632986,0.37474507842032795,-0.0983302411873841,0.0006268892075751847,0.0029688984768750926
2012,104,0.7403846153846154,0.10759477288377704,0.37237904195678756,0.005690737833594972,0.00013954589502236658,0.000602862013334704
2013,108,0.75,0.10782756552820517,0.3735511695365844,0.015306122448979553,0.000372338539450498,0.0017749895931315485
2014,108,0.7037037037037037,0.10818922325327442,0.3753934362386661,-0.030990173847316727,0.0007339962645197401,0.003617256295213256
2015,109,0.7247706422018348,0.10780983234120757,0.3733739219605167,-0.0099232353491856,0.00035460535245289415,0.0015977420170638634
2016,111,0.7657657657657657,0.10812952704476884,0.37526546367569263,0.03107188821474527,0.0006743000560141682,0.0034892837322397785
2017,108,0.6203703703703703,0.10861727266729325,0.37743715591329186,-0.1143235071806501,0.001162045678538573,0.005660975969838999
2018,108,0.8148148148148148,0.10831942853800464,0.37597947557361155,0.08012093726379432,0.00086420154924996,0.004203295630158699
2019,112,0.7232142857142857,0.10845018928940948,0.376617858269137,-0.011479591836734748,0.0009949623006548086,0.004841678325684162
2020,112,0.6428571428571429,0.10838322709610838,0.3760107412177906,-0.09183673469387754,0.0009280001073537075,0.004234561274337745
2021,114,0.7456140350877193,0.10843182045690473,0.3767232009068569,0.010920157536698838,0.0009765934681500582,0.004947020963404047
2022,114,0.8157894736842105,0.10819282354390684,0.37541461396051895,0.08109559613319006,0.0007375965551521674,0.0036384340170660945
2023,116,0.7758620689655172,0.10821245682731892,0.3757400359320707,0.04116819141449679,0.000757229838564244,0.00396385598861787
2024,118,0.9322033898305084,0.10815712092375741,0.37580981755114123,0.197509512279488,0.000701893935002737,0.004033637607688378
2025,118,0.7627118644067796,0.10829339469596153,0.37629989580517464,0.02801798685575918,0.0008381677072068494,0.004523715861721789
2026,66,0.7878787878787878,0.1075763097885892,0.3726237891048614,0.0531849103277674,0.00012108279983452652,0.0008476091614085246
