target_index,draw_id,fit_performed,last_fit_target,max_training_target,test_target,retrain_interval,model,fit_performed_before_prediction,updated_after_outcome
2128,115000047,True,2128.0,2127,2128,1,FullFeatureBatchLogistic,,
2129,115000048,True,2129.0,2128,2129,1,FullFeatureBatchLogistic,,
2130,115000049,True,2130.0,2129,2130,1,FullFeatureBatchLogistic,,
2131,115000050,True,2131.0,2130,2131,1,FullFeatureBatchLogistic,,
2132,115000051,True,2132.0,2131,2132,1,FullFeatureBatchLogistic,,
2133,115000052,True,2133.0,2132,2133,1,FullFeatureBatchLogistic,,
2134,115000053,True,2134.0,2133,2134,1,FullFeatureBatchLogistic,,
2135,115000054,True,2135.0,2134,2135,1,FullFeatureBatchLogistic,,
2136,115000055,True,2136.0,2135,2136,1,FullFeatureBatchLogistic,,
2137,115000056,True,2137.0,2136,2137,1,FullFeatureBatchLogistic,,
2138,115000057,True,2138.0,2137,2138,1,FullFeatureBatchLogistic,,
2139,115000058,True,2139.0,2138,2139,1,FullFeatureBatchLogistic,,
2140,115000059,True,2140.0,2139,2140,1,FullFeatureBatchLogistic,,
2141,115000060,True,2141.0,2140,2141,1,FullFeatureBatchLogistic,,
2142,115000061,True,2142.0,2141,2142,1,FullFeatureBatchLogistic,,
2143,115000062,True,2143.0,2142,2143,1,FullFeatureBatchLogistic,,
2144,115000063,True,2144.0,2143,2144,1,FullFeatureBatchLogistic,,
2145,115000064,True,2145.0,2144,2145,1,FullFeatureBatchLogistic,,
2146,115000065,True,2146.0,2145,2146,1,FullFeatureBatchLogistic,,
2147,115000066,True,2147.0,2146,2147,1,FullFeatureBatchLogistic,,
2128,115000047,,,2127,2128,1,OnlineSGDLogistic,False,True
2129,115000048,,,2128,2129,1,OnlineSGDLogistic,False,True
2130,115000049,,,2129,2130,1,OnlineSGDLogistic,False,True
2131,115000050,,,2130,2131,1,OnlineSGDLogistic,False,True
2132,115000051,,,2131,2132,1,OnlineSGDLogistic,False,True
2133,115000052,,,2132,2133,1,OnlineSGDLogistic,False,True
2134,115000053,,,2133,2134,1,OnlineSGDLogistic,False,True
2135,115000054,,,2134,2135,1,OnlineSGDLogistic,False,True
2136,115000055,,,2135,2136,1,OnlineSGDLogistic,False,True
2137,115000056,,,2136,2137,1,OnlineSGDLogistic,False,True
2138,115000057,,,2137,2138,1,OnlineSGDLogistic,False,True
2139,115000058,,,2138,2139,1,OnlineSGDLogistic,False,True
2140,115000059,,,2139,2140,1,OnlineSGDLogistic,False,True
2141,115000060,,,2140,2141,1,OnlineSGDLogistic,False,True
2142,115000061,,,2141,2142,1,OnlineSGDLogistic,False,True
2143,115000062,,,2142,2143,1,OnlineSGDLogistic,False,True
2144,115000063,,,2143,2144,1,OnlineSGDLogistic,False,True
2145,115000064,,,2144,2145,1,OnlineSGDLogistic,False,True
2146,115000065,,,2145,2146,1,OnlineSGDLogistic,False,True
2147,115000066,,,2146,2147,1,OnlineSGDLogistic,False,True
