model,inner_brier,inner_log_loss,inner_average_hits,complexity_rank,selected_C
FullFeatureBatchLogistic,0.10744279569121339,0.37171747924706044,0.73,5,0.01
ExactUniformBaseline,0.10745522698875465,0.37177617994345286,0.74,0,
FullFeatureOnlineSGD,0.10750886836963047,0.37194419346150154,0.75,6,
HistoricalTop6Baseline,0.10758700391827056,0.37240037401944903,0.71,2,
TransitionOnly,0.10760633313322542,0.37252788367890477,0.64,4,
Recent100HotBaseline,0.10838882573927529,0.3759503724117155,0.69,3,
Recent50HotBaseline,0.10896092451478552,0.37941314178011204,0.84,3,
Recent20HotBaseline,0.11268520533111205,0.405975000854044,0.73,3,
GapOnly,0.18996128696376513,0.7278061460145089,0.82,4,
PreviousDrawOnly,0.19393169512703046,0.7433102483423962,0.75,4,
FixedNumbersBaseline,0.19429904206580603,0.7446840613865611,0.74,1,
