model,prediction_draws,average_hits,top10_average_hits,top12_average_hits,brier,log_loss,calibration_intercept,calibration_slope,ece,probability_sum_min,probability_sum_max,hit_difference_vs_uniform,brier_difference_vs_uniform,log_loss_difference_vs_uniform,paired_bootstrap_hit_ci_low,paired_bootstrap_hit_ci_high,block20_bootstrap_hit_ci_low,block20_bootstrap_hit_ci_high,exact_hit_count_p,selected_by_inner_rule,bonferroni_p,holm_p,fdr_bh_p
FullFeatureBatchLogistic,20,1.1,1.35,1.5,0.10736998803309336,0.3713810707562125,9.83658038742829,5.998497305826926,0.0,5.999999999999999,6.000000000000001,0.36530612244897964,-8.523895566131534e-05,-0.00039510918724033894,0.06530612244897957,0.6653061224489797,0.36530612244897964,0.36530612244897964,0.02664337676616004,True,0.31972052119392047,0.31972052119392047,0.3197205211939205
FullFeatureOnlineSGD,20,0.75,1.15,1.7,0.10730237813288468,0.3711050043933018,-0.4013651039364676,0.7961663102107772,0.002596269546465405,5.999999999999999,6.000000000000001,0.015306122448979553,-0.00015284885586999697,-0.0006711755501510597,-0.3346938775510204,0.4653061224489797,0.015306122448979581,0.015306122448979581,0.5110327017593834,False,1.0,1.0,0.876056060158943
FixedHoldoutLogistic,20,1.0,1.35,1.5,0.10737571108885195,0.3714084758673995,8.704801641653644,5.42317128772615,0.0,5.999999999999999,6.000000000000002,0.26530612244897955,-7.951589990272401e-05,-0.00036770407605335453,-0.034693877551020436,0.5653061224489797,0.2653061224489796,0.2653061224489796,0.08213705675710144,False,0.9856446810852173,0.9035076243281158,0.49282234054260865
ExactUniformBaseline,20,0.55,0.95,1.3,0.10745522698875468,0.37177617994345286,-1.9694406464655074,0.0,2.7755575615628914e-17,6.0,6.0,-0.1846938775510204,0.0,0.0,-0.4346938775510204,0.11530612244897961,-0.1846938775510204,-0.1846938775510204,0.8950094324025294,False,1.0,1.0,0.9985599915355741
HistoricalTop6Baseline,20,0.3,0.85,1.1,0.10765230383323002,0.3726759977700912,-6.656855345446922,-2.375611851176789,0.0,5.999999999999999,6.000000000000002,-0.43469387755102046,0.00019707684447534124,0.0008998178266383383,-0.6346938775510205,-0.1846938775510204,-0.4346938775510204,-0.4346938775510204,0.9985599915355741,False,1.0,1.0,0.9985599915355741
TransitionOnly,20,0.3,0.7,1.15,0.1077503249770955,0.3731751575501542,-5.144343685611358,-1.6071538301594759,0.0009699182907086546,5.999999999999999,6.000000000000002,-0.43469387755102046,0.00029509798834082,0.0013989776067013238,-0.6846938775510204,-0.08469387755102041,-0.4346938775510204,-0.4346938775510204,0.9985599915355741,False,1.0,1.0,0.9985599915355741
Recent50HotBaseline,20,0.9,1.3,1.55,0.10800564614743857,0.3747378318582282,-1.3339098986106546,0.3162245967381,0.01037542690545606,6.0,6.000000000000002,0.16530612244897958,0.0005504191586838958,0.0029616519147753206,-0.08469387755102044,0.4153061224489797,0.1653061224489796,0.1653061224489796,0.20168676244079603,False,1.0,1.0,0.7912964307062103
Recent100HotBaseline,20,0.8,1.35,1.5,0.10801297471886713,0.3746874527858389,-1.5680396480947296,0.20090313142191238,0.012148354852144935,5.999999999999999,6.000000000000002,0.0653061224489796,0.0005577477301124539,0.00291127284238607,-0.3346938775510204,0.4653061224489797,0.0653061224489796,0.0653061224489796,0.3956482153531051,False,1.0,1.0,0.7912964307062103
Recent20HotBaseline,20,0.65,1.45,1.6,0.11148756247396921,0.40183414422523295,-2.0587229859775746,-0.0409503565782809,0.03817971678467306,5.999999999999999,6.000000000000002,-0.08469387755102042,0.004032335485214533,0.030057964281780092,-0.3846938775510204,0.21530612244897956,-0.08469387755102042,-0.08469387755102042,0.7350241507808352,False,1.0,1.0,0.9985599915355741
PreviousDrawOnly,20,0.8,1.15,1.4,0.19209496043315288,0.7364411831215713,-1.9113364117562135,0.01652751486424807,0.1907538525614327,6.0,6.000000000000002,0.0653061224489796,0.08463973344439821,0.3646650031781184,-0.28469387755102044,0.4153061224489797,0.06530612244897957,0.06530612244897957,0.3956482153531051,False,1.0,1.0,0.7912964307062103
GapOnly,20,0.8,1.15,1.35,0.19218679716784676,0.7365259009530746,-1.930130184322542,0.011180273877164703,0.19080383173677634,6.0,6.000000000000001,0.0653061224489796,0.08473157017909208,0.3647497210096217,-0.23469387755102042,0.36530612244897964,0.06530612244897957,0.06530612244897957,0.3956482153531051,False,1.0,1.0,0.7912964307062103
FixedNumbersBaseline,20,0.55,0.95,1.3,0.20127863390254067,0.7707865092256965,-2.1671870374781204,-0.05399527097989923,0.20095793419408575,6.000000000000002,6.000000000000002,-0.1846938775510204,0.09382340691378599,0.3990103292822436,-0.4346938775510204,0.11530612244897961,-0.1846938775510204,-0.1846938775510204,0.8950094324025294,False,1.0,1.0,0.9985599915355741
