number,selection_count,selection_proportion
1,479,0.42653606411398043
2,118,0.10507569011576136
3,87,0.07747105966162066
4,167,0.14870881567230632
5,442,0.3935886019590383
6,52,0.04630454140694568
7,100,0.08904719501335707
8,88,0.07836153161175423
9,85,0.07569011576135352
10,107,0.09528049866429207
11,89,0.0792520035618878
12,135,0.12021371326803205
13,83,0.07390917186108638
14,24,0.0213713268032057
15,394,0.3508459483526269
16,173,0.15405164737310775
17,67,0.05966162065894924
18,41,0.0365093499554764
19,10,0.008904719501335707
20,43,0.03829029385574354
21,35,0.031166518254674976
22,365,0.3250222617987533
23,234,0.20837043633125557
24,273,0.24309884238646481
25,96,0.0854853072128228
26,16,0.014247551202137132
27,277,0.2466607301869991
28,318,0.2831700801424755
29,55,0.048975957257346395
30,5,0.004452359750667854
31,126,0.11219946571682991
32,47,0.041852181656277826
33,5,0.004452359750667854
34,18,0.016028495102404273
35,45,0.04007123775601069
36,229,0.20391807658058772
37,51,0.04541406945681211
38,185,0.1647373107747106
39,126,0.11219946571682991
40,182,0.1620658949243099
41,25,0.02226179875333927
42,96,0.0854853072128228
43,185,0.1647373107747106
44,164,0.1460373998219056
45,264,0.2350845948352627
46,38,0.03383793410507569
47,315,0.2804986642920748
48,114,0.10151380231522707
49,65,0.0578806767586821
