target_index,model,hit_difference_vs_full,brier_difference_vs_full,log_loss_difference_vs_full
2128,Full,0,0.0,0.0
2129,Full,0,0.0,0.0
2130,Full,0,0.0,0.0
2131,Full,0,0.0,0.0
2132,Full,0,0.0,0.0
2133,Full,0,0.0,0.0
2134,Full,0,0.0,0.0
2135,Full,0,0.0,0.0
2136,Full,0,0.0,0.0
2137,Full,0,0.0,0.0
2138,Full,0,0.0,0.0
2139,Full,0,0.0,0.0
2140,Full,0,0.0,0.0
2141,Full,0,0.0,0.0
2142,Full,0,0.0,0.0
2143,Full,0,0.0,0.0
2144,Full,0,0.0,0.0
2145,Full,0,0.0,0.0
2146,Full,0,0.0,0.0
2147,Full,0,0.0,0.0
2128,RemoveInLastDraw,0,-4.9017355520722394e-05,-0.00022721441559148126
2129,RemoveInLastDraw,0,3.65178623029927e-05,0.00017268469650799645
2130,RemoveInLastDraw,0,-4.2113072137958674e-05,-0.00019442656465668007
2131,RemoveInLastDraw,0,-2.5759519873297387e-05,-0.00012141441257745855
2132,RemoveInLastDraw,0,2.6619872808136824e-06,6.263919092974746e-06
2133,RemoveInLastDraw,0,2.0151193019901648e-05,9.588440619473504e-05
2134,RemoveInLastDraw,0,-4.452441149149777e-05,-0.0002072414370010156
2135,RemoveInLastDraw,0,-3.6281675110244604e-05,-0.0001698725887631647
2136,RemoveInLastDraw,0,-4.193711286371027e-05,-0.00019316592538709543
2137,RemoveInLastDraw,-1,1.3564176579716758e-05,6.19839292292923e-05
2138,RemoveInLastDraw,0,6.061593944264865e-05,0.0002862611566571416
2139,RemoveInLastDraw,0,0.00011970848107478727,0.0005561707598434329
2140,RemoveInLastDraw,0,-2.9463163017995342e-05,-0.00014040377456481234
2141,RemoveInLastDraw,0,2.544934001048882e-05,0.00011679556621640996
2142,RemoveInLastDraw,0,-4.599013141848296e-05,-0.00021252198185761628
2143,RemoveInLastDraw,0,2.6353208395016314e-05,0.0001198788194000655
2144,RemoveInLastDraw,1,-9.1095937046759e-06,-4.283471149924001e-05
2145,RemoveInLastDraw,0,6.298795037296134e-05,0.0002968010551247513
2146,RemoveInLastDraw,0,4.8139370711464124e-05,0.00022671825639136722
2147,RemoveInLastDraw,0,3.4775213248586234e-05,0.00016863246937898202
2128,RemoveTransition,0,8.143451300610116e-06,3.782708562594106e-05
2129,RemoveTransition,0,4.3774215898045865e-06,2.0643164915845613e-05
2130,RemoveTransition,-1,1.201753850030296e-06,5.669430538368658e-06
2131,RemoveTransition,0,-8.557143875431716e-08,8.420200968695113e-07
2132,RemoveTransition,0,3.19958669756093e-06,1.4426148645219072e-05
2133,RemoveTransition,0,1.029851828403261e-05,4.673457257253766e-05
2134,RemoveTransition,0,6.065133974497705e-06,2.7779711025133214e-05
2135,RemoveTransition,0,3.4118403409721942e-06,1.5946760275664662e-05
2136,RemoveTransition,0,-4.374917672855805e-06,-2.0228927325394164e-05
2137,RemoveTransition,-1,1.5201867895886512e-06,8.47036487711117e-06
2138,RemoveTransition,0,-6.546593900180753e-05,-0.00030644653086786544
2139,RemoveTransition,0,1.0951427636213262e-05,4.930868870461902e-05
2140,RemoveTransition,0,9.774520715044588e-07,6.283110176363849e-06
2141,RemoveTransition,0,6.064358808177683e-07,2.418402777926154e-06
2142,RemoveTransition,0,-1.1198269900564162e-05,-5.284689255641295e-05
2143,RemoveTransition,0,-3.618217277125135e-05,-0.0001638869430881651
2144,RemoveTransition,0,-1.3760746439689386e-06,-6.426403320269891e-06
2145,RemoveTransition,0,-1.4311898272459378e-05,-6.639524552071174e-05
2146,RemoveTransition,0,4.70777423190738e-06,2.1464843089069596e-05
2147,RemoveTransition,0,-7.623036584400444e-06,-3.569066420450184e-05
2128,RemoveBoth,0,9.607453768954721e-05,0.00044134449653548957
2129,RemoveBoth,0,1.288288400637383e-05,6.427436719058655e-05
2130,RemoveBoth,0,-2.7383743273740047e-05,-0.00012712035812628697
2131,RemoveBoth,0,-3.4029155096884645e-05,-0.00015834705335798782
2132,RemoveBoth,0,4.172128115415008e-05,0.0001828399271359138
2133,RemoveBoth,0,2.5404867343412074e-05,0.00011998252584943803
2134,RemoveBoth,0,-4.451547273633116e-05,-0.0002072108547548912
2135,RemoveBoth,0,-3.1246431840992184e-05,-0.00014527203029063296
2136,RemoveBoth,0,-4.421076036079108e-05,-0.0002038586788503105
2137,RemoveBoth,-1,1.7614584386746457e-05,8.186397572590431e-05
2138,RemoveBoth,0,1.6952079492232874e-06,8.319862643824116e-06
2139,RemoveBoth,0,0.000127754590719259,0.0005925655703041266
2140,RemoveBoth,0,-3.070525213222375e-05,-0.0001465332360285343
2141,RemoveBoth,0,3.627865657913898e-05,0.00016762626120386814
2142,RemoveBoth,0,-3.7595832103609617e-05,-0.00017442876539575103
2143,RemoveBoth,0,8.345981054175278e-07,3.73391499203235e-06
2144,RemoveBoth,1,8.05235519964198e-06,3.5834310664506486e-05
2145,RemoveBoth,0,5.217317487396511e-05,0.00024615654351856087
2146,RemoveBoth,0,4.160890496705816e-05,0.00019619303623602535
2147,RemoveBoth,0,3.4550004531674894e-05,0.00016733685548797617
2128,OnlyInLastDraw,0,4.194747472235916e-05,0.00017476074193878421
2129,OnlyInLastDraw,0,-0.0002677636375884723,-0.0012507200405207919
2130,OnlyInLastDraw,0,0.0003486237686132765,0.001639111884086053
2131,OnlyInLastDraw,0,-0.0002648894504817395,-0.0012620151715309613
2132,OnlyInLastDraw,-2,0.0004007203717945884,0.0018478303050273315
2133,OnlyInLastDraw,0,8.441885042737018e-05,0.00040512484883753475
2134,OnlyInLastDraw,0,-0.00025744683144095226,-0.0011878676373777153
2135,OnlyInLastDraw,1,-2.9668208400876472e-05,-0.00012380874016826304
2136,OnlyInLastDraw,-1,0.00026939552500573893,0.0012673596227016914
2137,OnlyInLastDraw,-1,0.0002572571597581341,0.0012029959102119459
2138,OnlyInLastDraw,-1,-0.00016549724399883559,-0.000788035084769767
2139,OnlyInLastDraw,-1,0.0001098004364466082,0.0005181568457367502
2140,OnlyInLastDraw,-1,-8.106346872477355e-05,-0.0003877353075741885
2141,OnlyInLastDraw,-1,0.00011216883926888632,0.0005398983792384016
2142,OnlyInLastDraw,1,9.60373638129175e-05,0.00044345778369814237
2143,OnlyInLastDraw,-2,0.0008049633500110398,0.0037230704657063574
2144,OnlyInLastDraw,0,0.0002786991837361724,0.0012959385236154253
2145,OnlyInLastDraw,0,-0.000245670772100276,-0.001135752675265278
2146,OnlyInLastDraw,-2,0.00014403270663490564,0.0006582665515667552
2147,OnlyInLastDraw,0,9.360857746965046e-05,0.0004381049890437305
2128,OnlyTransition,0,4.0181990040494275e-05,0.00016632585808845635
2129,OnlyTransition,1,-0.00029610289581573357,-0.001382685988870369
2130,OnlyTransition,-1,0.00038124141404323464,0.0017907046562981588
2131,OnlyTransition,1,-0.00028585676882394995,-0.001359466694906275
2132,OnlyTransition,-2,0.0004076932245843795,0.001879979160237466
2133,OnlyTransition,0,7.368385453329629e-05,0.0003551808111305621
2134,OnlyTransition,0,-0.00022105171992260753,-0.0010187527107252126
2135,OnlyTransition,1,-3.738840802239296e-05,-0.00015981531292275086
2136,OnlyTransition,-1,0.0002756633322378438,0.0012962592588495747
2137,OnlyTransition,-1,0.00023742984915799126,0.0011105548513324903
2138,OnlyTransition,1,-0.0002722911156886748,-0.0012841260378619324
2139,OnlyTransition,1,0.0001428791607734764,0.0006747921951594238
2140,OnlyTransition,-1,-9.271480654110542e-05,-0.0004423060631725262
2141,OnlyTransition,-1,0.00012553396692024932,0.0006017305735600553
2142,OnlyTransition,0,7.465633203684874e-05,0.00034409243518623844
2143,OnlyTransition,-2,0.0007841925551597129,0.00362613443338633
2144,OnlyTransition,0,0.0002697798221932418,0.0012541672364167478
2145,OnlyTransition,1,-0.0002928444914879341,-0.0013554271758673408
2146,OnlyTransition,-2,0.00015171110738844418,0.0006938604397406789
2147,OnlyTransition,0,7.678106977039578e-05,0.000359511025372683
2128,RepeatLastDraw,-1,0.11407278901339296,0.47476041389613083
2129,RepeatLastDraw,0,0.07702317622244557,0.33592938772081093
2130,RepeatLastDraw,-1,0.11438059454015857,0.476230023120382
2131,RepeatLastDraw,-1,0.11376885017736116,0.4733371345629982
2132,RepeatLastDraw,-1,0.0776906093614955,0.33902304256070126
2133,RepeatLastDraw,0,0.07737454140059011,0.33758142536913105
2134,RepeatLastDraw,0,0.11377677507114617,0.47341352875428344
2135,RepeatLastDraw,0,0.1140063171669535,0.4744858043561422
2136,RepeatLastDraw,-1,0.11430714193616064,0.4758851806401957
2137,RepeatLastDraw,-1,0.07754568899565237,0.3383714158177976
2138,RepeatLastDraw,1,0.040372972063899545,0.19892796327211376
2139,RepeatLastDraw,2,0.003907477025615863,0.06282447601551411
2140,RepeatLastDraw,-1,0.11394931805655366,0.47419577617373626
2141,RepeatLastDraw,0,0.0774032790164888,0.33772079933054094
2142,RepeatLastDraw,-1,0.114127542323336,0.4750321999174162
2143,RepeatLastDraw,-2,0.07809566690303152,0.3409020776041399
2144,RepeatLastDraw,0,0.07756963437301531,0.3384760245316844
2145,RepeatLastDraw,2,0.040304674094196455,0.19863558171526285
2146,RepeatLastDraw,-1,0.07743629722759876,0.3378445416942816
2147,RepeatLastDraw,0,0.07738610303209745,0.3376254502539107
2128,ExcludeLastDraw,0,-0.00202592954379735,-0.015432044132430822
2129,ExcludeLastDraw,0,0.0027849227815343186,0.03529910797346736
2130,ExcludeLastDraw,0,-0.001718124017031794,-0.013962434908179555
2131,ExcludeLastDraw,0,-0.002329868379829153,-0.016855323465563343
2132,ExcludeLastDraw,-2,0.0034523559205842658,0.038392762813357684
2133,ExcludeLastDraw,0,0.0031362879596788518,0.03695114562178747
2134,ExcludeLastDraw,0,-0.00232194348604417,-0.016778929274278098
2135,ExcludeLastDraw,1,-0.0020924013902368366,-0.015706653672419357
2136,ExcludeLastDraw,-1,-0.0017915766210296752,-0.014307277388365847
2137,ExcludeLastDraw,-1,0.0033074355547411116,0.03774113607045415
2138,ExcludeLastDraw,-1,0.007995183739267345,0.08785986180598837
2139,ExcludeLastDraw,-1,0.013390153817262787,0.1413185528306068
2140,ExcludeLastDraw,-1,-0.0021494005006366806,-0.01599668185482539
2141,ExcludeLastDraw,-1,0.003165025575577546,0.03709051958319748
2142,ExcludeLastDraw,1,-0.0019711762338543715,-0.01516025811114513
2143,ExcludeLastDraw,-2,0.0038574134621202627,0.040271797856796576
2144,ExcludeLastDraw,0,0.0033313809321040833,0.03784574478434094
2145,ExcludeLastDraw,0,0.007926885769564282,0.08756748024913746
2146,ExcludeLastDraw,-2,0.003198043786687532,0.037214261946938
2147,ExcludeLastDraw,0,0.003147849591186219,0.036995170506567254
2128,ExactUniform,-1,4.5300466953918095e-05,0.00019036718481102444
2129,ExactUniform,0,-0.0002696184464424378,-0.001259354574007221
2130,ExactUniform,-1,0.0003531059937195019,0.001659976409062347
2131,ExactUniform,0,-0.00025863836907787097,-0.0012329121483214411
2132,ExactUniform,-2,0.00039781469260750935,0.0018343002658831042
2133,ExactUniform,0,8.174673170209534e-05,0.00039268307431289395
2134,ExactUniform,0,-0.000250713475292888,-0.001156517957036196
2135,ExactUniform,1,-2.1171379485554476e-05,-8.424235517745515e-05
2136,ExactUniform,-1,0.0002796533897216069,0.001315133928876
2137,ExactUniform,-1,0.0002528943267643552,0.001182673522979627
2138,ExactUniform,-1,-0.00018512872743745024,-0.0008794746062025793
2139,ExactUniform,-1,8.407011182991198e-05,0.0003983425536993601
2140,ExactUniform,-1,-7.817048988537079e-05,-0.0003742705375835431
2141,ExactUniform,-1,0.0001104843476007894,0.0005320570357228993
2142,ExactUniform,1,0.0001000537768969384,0.00046215320609671595
2143,ExactUniform,-1,0.0008028722341435063,0.0037133353093219412
2144,ExactUniform,0,0.00027683970412732684,0.001287282236866416
2145,ExactUniform,0,-0.0002534266971405408,-0.0011718561630534863
2146,ExactUniform,-2,0.00014350255871077577,0.0006557993994634748
2147,ExactUniform,0,9.330836320944891e-05,0.0004367079590926748
