variant_type,iteration,seed,parameter,numbers,jaccard_vs_reference
draw_group_bootstrap,1,22260729,,23 28 31 36 44 46,0.0
draw_group_bootstrap,2,22260730,,1 5 27 38 44 47,0.5
draw_group_bootstrap,3,22260731,,28 36 37 38 43 47,0.09090909090909091
draw_group_bootstrap,4,22260732,,1 2 23 27 36 38,0.2
draw_group_bootstrap,5,22260733,,2 3 15 28 31 32,0.09090909090909091
draw_group_bootstrap,6,22260734,,5 10 15 29 37 47,0.3333333333333333
draw_group_bootstrap,7,22260735,,1 28 38 44 45 47,0.2
draw_group_bootstrap,8,22260736,,4 10 23 24 40 47,0.09090909090909091
draw_group_bootstrap,9,22260737,,5 15 16 22 27 42,0.5
draw_group_bootstrap,10,22260738,,2 5 12 24 25 45,0.09090909090909091
draw_group_bootstrap,11,22260739,,10 15 22 25 28 47,0.3333333333333333
draw_group_bootstrap,12,22260740,,8 13 14 38 43 45,0.0
draw_group_bootstrap,13,22260741,,1 9 11 17 24 46,0.09090909090909091
draw_group_bootstrap,14,22260742,,5 10 15 17 23 29,0.2
draw_group_bootstrap,15,22260743,,1 3 15 28 43 44,0.2
draw_group_bootstrap,16,22260744,,15 22 35 37 45 47,0.3333333333333333
draw_group_bootstrap,17,22260745,,5 16 23 36 45 47,0.2
draw_group_bootstrap,18,22260746,,5 10 16 37 43 45,0.09090909090909091
draw_group_bootstrap,19,22260747,,4 20 25 32 39 45,0.0
draw_group_bootstrap,20,22260748,,1 11 16 23 28 41,0.09090909090909091
draw_group_bootstrap,21,22260749,,5 12 15 22 25 47,0.5
draw_group_bootstrap,22,22260750,,1 2 23 24 29 45,0.09090909090909091
draw_group_bootstrap,23,22260751,,8 29 42 45 47 48,0.09090909090909091
draw_group_bootstrap,24,22260752,,1 6 32 42 43 47,0.2
draw_group_bootstrap,25,22260753,,5 15 32 40 45 47,0.3333333333333333
draw_group_bootstrap,26,22260754,,5 15 22 27 28 43,0.5
draw_group_bootstrap,27,22260755,,1 3 4 11 24 44,0.09090909090909091
draw_group_bootstrap,28,22260756,,9 12 36 38 40 47,0.09090909090909091
draw_group_bootstrap,29,22260757,,5 6 24 43 45 47,0.2
draw_group_bootstrap,30,22260758,,13 26 34 44 45 48,0.0
draw_group_bootstrap,31,22260759,,5 7 12 25 29 42,0.09090909090909091
draw_group_bootstrap,32,22260760,,3 5 8 15 38 44,0.2
draw_group_bootstrap,33,22260761,,1 15 28 36 38 42,0.2
draw_group_bootstrap,34,22260762,,1 5 15 24 40 47,0.5
draw_group_bootstrap,35,22260763,,1 4 15 19 22 40,0.3333333333333333
draw_group_bootstrap,36,22260764,,5 8 16 27 35 38,0.2
draw_group_bootstrap,37,22260765,,1 5 8 13 22 45,0.3333333333333333
draw_group_bootstrap,38,22260766,,8 23 28 32 38 48,0.0
draw_group_bootstrap,39,22260767,,22 36 38 42 44 48,0.09090909090909091
draw_group_bootstrap,40,22260768,,5 7 22 25 26 27,0.3333333333333333
draw_group_bootstrap,41,22260769,,1 10 30 31 36 38,0.09090909090909091
draw_group_bootstrap,42,22260770,,1 5 12 15 34 40,0.3333333333333333
draw_group_bootstrap,43,22260771,,1 4 8 21 44 45,0.09090909090909091
draw_group_bootstrap,44,22260772,,1 9 11 23 31 35,0.09090909090909091
draw_group_bootstrap,45,22260773,,4 5 15 23 30 31,0.2
draw_group_bootstrap,46,22260774,,10 22 27 39 42 47,0.3333333333333333
draw_group_bootstrap,47,22260775,,1 4 6 16 20 47,0.2
draw_group_bootstrap,48,22260776,,1 5 15 24 27 36,0.5
draw_group_bootstrap,49,22260777,,1 8 15 36 45 47,0.3333333333333333
draw_group_bootstrap,50,22260778,,1 16 22 23 36 43,0.2
draw_group_bootstrap,51,22260779,,1 5 11 22 43 47,0.5
draw_group_bootstrap,52,22260780,,5 15 16 28 45 47,0.3333333333333333
draw_group_bootstrap,53,22260781,,1 2 4 22 38 47,0.3333333333333333
draw_group_bootstrap,54,22260782,,6 12 22 23 24 47,0.2
draw_group_bootstrap,55,22260783,,4 22 28 36 44 49,0.09090909090909091
draw_group_bootstrap,56,22260784,,15 31 36 37 44 47,0.2
draw_group_bootstrap,57,22260785,,1 2 9 24 31 36,0.09090909090909091
draw_group_bootstrap,58,22260786,,11 22 28 38 43 47,0.2
draw_group_bootstrap,59,22260787,,12 23 31 40 44 45,0.0
draw_group_bootstrap,60,22260788,,8 12 15 18 45 48,0.09090909090909091
draw_group_bootstrap,61,22260789,,9 15 18 25 47 48,0.2
draw_group_bootstrap,62,22260790,,1 5 13 15 23 45,0.3333333333333333
draw_group_bootstrap,63,22260791,,4 10 15 24 40 45,0.09090909090909091
draw_group_bootstrap,64,22260792,,1 5 16 28 36 44,0.2
draw_group_bootstrap,65,22260793,,1 4 23 36 40 43,0.09090909090909091
draw_group_bootstrap,66,22260794,,1 5 9 12 27 28,0.3333333333333333
draw_group_bootstrap,67,22260795,,5 15 16 17 36 37,0.2
draw_group_bootstrap,68,22260796,,6 15 22 24 28 49,0.2
draw_group_bootstrap,69,22260797,,5 9 15 32 42 46,0.2
draw_group_bootstrap,70,22260798,,1 15 23 38 40 49,0.2
draw_group_bootstrap,71,22260799,,12 13 19 23 28 31,0.0
draw_group_bootstrap,72,22260800,,22 24 27 38 44 47,0.3333333333333333
draw_group_bootstrap,73,22260801,,5 7 10 12 28 29,0.09090909090909091
draw_group_bootstrap,74,22260802,,1 2 5 31 35 38,0.2
draw_group_bootstrap,75,22260803,,1 22 24 28 37 40,0.2
draw_group_bootstrap,76,22260804,,1 4 5 36 45 47,0.3333333333333333
draw_group_bootstrap,77,22260805,,1 9 15 16 40 47,0.3333333333333333
draw_group_bootstrap,78,22260806,,5 10 16 31 41 44,0.09090909090909091
draw_group_bootstrap,79,22260807,,5 15 27 37 40 45,0.3333333333333333
draw_group_bootstrap,80,22260808,,4 15 22 37 38 42,0.2
draw_group_bootstrap,81,22260809,,9 12 28 31 42 47,0.09090909090909091
draw_group_bootstrap,82,22260810,,4 10 23 31 45 47,0.09090909090909091
draw_group_bootstrap,83,22260811,,5 10 16 23 24 49,0.09090909090909091
draw_group_bootstrap,84,22260812,,15 23 40 44 45 46,0.09090909090909091
draw_group_bootstrap,85,22260813,,2 28 40 42 43 45,0.0
draw_group_bootstrap,86,22260814,,1 15 23 34 40 49,0.2
draw_group_bootstrap,87,22260815,,1 15 16 17 24 27,0.3333333333333333
draw_group_bootstrap,88,22260816,,1 15 27 36 42 44,0.3333333333333333
draw_group_bootstrap,89,22260817,,1 5 7 15 25 45,0.3333333333333333
draw_group_bootstrap,90,22260818,,5 15 21 22 29 36,0.3333333333333333
draw_group_bootstrap,91,22260819,,1 4 18 24 36 41,0.09090909090909091
draw_group_bootstrap,92,22260820,,5 13 15 28 38 40,0.2
draw_group_bootstrap,93,22260821,,1 8 28 44 45 49,0.09090909090909091
draw_group_bootstrap,94,22260822,,1 5 6 11 12 45,0.2
draw_group_bootstrap,95,22260823,,5 29 31 36 38 44,0.09090909090909091
draw_group_bootstrap,96,22260824,,4 18 22 27 36 40,0.2
draw_group_bootstrap,97,22260825,,5 15 27 38 40 43,0.3333333333333333
draw_group_bootstrap,98,22260826,,6 12 27 28 43 47,0.2
draw_group_bootstrap,99,22260827,,5 7 23 38 40 47,0.2
draw_group_bootstrap,100,22260828,,4 28 42 45 47 48,0.09090909090909091
draw_group_bootstrap,101,22260829,,7 15 16 25 40 43,0.09090909090909091
draw_group_bootstrap,102,22260830,,15 18 25 40 44 47,0.2
draw_group_bootstrap,103,22260831,,1 2 5 15 23 48,0.3333333333333333
draw_group_bootstrap,104,22260832,,5 7 15 22 27 47,0.7142857142857143
draw_group_bootstrap,105,22260833,,13 15 23 24 25 31,0.09090909090909091
draw_group_bootstrap,106,22260834,,4 16 25 27 45 48,0.09090909090909091
draw_group_bootstrap,107,22260835,,5 6 15 22 36 40,0.3333333333333333
draw_group_bootstrap,108,22260836,,5 12 15 23 29 36,0.2
draw_group_bootstrap,109,22260837,,12 22 23 36 42 46,0.09090909090909091
draw_group_bootstrap,110,22260838,,13 23 27 40 45 47,0.2
draw_group_bootstrap,111,22260839,,2 5 21 35 38 40,0.09090909090909091
draw_group_bootstrap,112,22260840,,1 5 36 40 43 45,0.2
draw_group_bootstrap,113,22260841,,1 2 4 22 24 40,0.2
draw_group_bootstrap,114,22260842,,5 7 25 28 38 47,0.2
draw_group_bootstrap,115,22260843,,1 8 12 16 45 47,0.2
draw_group_bootstrap,116,22260844,,1 5 15 22 40 45,0.5
draw_group_bootstrap,117,22260845,,5 24 36 40 42 44,0.09090909090909091
draw_group_bootstrap,118,22260846,,5 22 23 24 27 45,0.3333333333333333
draw_group_bootstrap,119,22260847,,5 6 12 15 22 29,0.3333333333333333
draw_group_bootstrap,120,22260848,,4 6 10 22 43 45,0.09090909090909091
draw_group_bootstrap,121,22260849,,1 9 17 31 42 44,0.09090909090909091
draw_group_bootstrap,122,22260850,,1 5 6 25 28 40,0.2
draw_group_bootstrap,123,22260851,,5 10 11 15 22 43,0.3333333333333333
draw_group_bootstrap,124,22260852,,1 4 16 22 23 36,0.2
draw_group_bootstrap,125,22260853,,4 7 15 16 17 28,0.09090909090909091
draw_group_bootstrap,126,22260854,,2 6 7 31 47 48,0.09090909090909091
draw_group_bootstrap,127,22260855,,1 30 35 36 41 44,0.09090909090909091
draw_group_bootstrap,128,22260856,,7 22 27 28 47 48,0.3333333333333333
draw_group_bootstrap,129,22260857,,1 12 13 20 28 32,0.09090909090909091
draw_group_bootstrap,130,22260858,,1 5 15 22 24 45,0.5
draw_group_bootstrap,131,22260859,,5 11 15 22 24 38,0.3333333333333333
draw_group_bootstrap,132,22260860,,4 5 16 18 29 45,0.09090909090909091
draw_group_bootstrap,133,22260861,,1 2 23 24 31 44,0.09090909090909091
draw_group_bootstrap,134,22260862,,5 15 22 29 43 48,0.3333333333333333
draw_group_bootstrap,135,22260863,,5 6 16 22 27 47,0.5
draw_group_bootstrap,136,22260864,,12 23 31 34 44 47,0.09090909090909091
draw_group_bootstrap,137,22260865,,1 5 15 16 38 47,0.5
draw_group_bootstrap,138,22260866,,19 24 36 42 43 46,0.0
draw_group_bootstrap,139,22260867,,12 13 22 24 40 47,0.2
draw_group_bootstrap,140,22260868,,5 12 22 38 43 47,0.3333333333333333
draw_group_bootstrap,141,22260869,,1 2 17 24 32 36,0.09090909090909091
draw_group_bootstrap,142,22260870,,1 15 29 32 36 42,0.2
draw_group_bootstrap,143,22260871,,13 22 23 24 43 45,0.09090909090909091
draw_group_bootstrap,144,22260872,,1 11 15 25 39 40,0.2
draw_group_bootstrap,145,22260873,,4 5 6 15 25 43,0.2
draw_group_bootstrap,146,22260874,,3 8 15 24 32 40,0.09090909090909091
draw_group_bootstrap,147,22260875,,1 2 21 27 43 46,0.2
draw_group_bootstrap,148,22260876,,13 24 27 38 40 45,0.09090909090909091
draw_group_bootstrap,149,22260877,,1 5 22 27 40 49,0.5
draw_group_bootstrap,150,22260878,,7 15 22 25 36 42,0.2
