target_index,model,hits_top6,hits_top10,hits_top12,brier,log_loss
2128,ExactUniformBaseline,0,1,1,0.10745522698875465,0.37177617994345286
2129,ExactUniformBaseline,1,2,2,0.10745522698875466,0.37177617994345286
2130,ExactUniformBaseline,0,1,1,0.10745522698875465,0.3717761799434529
2131,ExactUniformBaseline,1,1,1,0.10745522698875466,0.3717761799434529
2132,ExactUniformBaseline,0,1,1,0.10745522698875466,0.37177617994345286
2133,ExactUniformBaseline,1,1,2,0.10745522698875466,0.37177617994345286
2134,ExactUniformBaseline,0,0,0,0.10745522698875466,0.3717761799434529
2135,ExactUniformBaseline,1,1,1,0.10745522698875466,0.3717761799434529
2136,ExactUniformBaseline,0,0,1,0.10745522698875466,0.37177617994345286
2137,ExactUniformBaseline,1,1,1,0.10745522698875466,0.3717761799434529
2138,ExactUniformBaseline,0,0,0,0.10745522698875466,0.3717761799434529
2139,ExactUniformBaseline,0,2,2,0.10745522698875466,0.37177617994345286
2140,ExactUniformBaseline,0,0,1,0.10745522698875466,0.37177617994345286
2141,ExactUniformBaseline,0,0,0,0.10745522698875466,0.37177617994345286
2142,ExactUniformBaseline,2,2,2,0.10745522698875466,0.37177617994345286
2143,ExactUniformBaseline,2,3,4,0.10745522698875466,0.37177617994345286
2144,ExactUniformBaseline,1,1,2,0.10745522698875466,0.3717761799434529
2145,ExactUniformBaseline,0,0,1,0.10745522698875466,0.3717761799434529
2146,ExactUniformBaseline,0,0,1,0.10745522698875466,0.3717761799434529
2147,ExactUniformBaseline,1,2,2,0.10745522698875465,0.37177617994345286
2128,FixedNumbersBaseline,0,1,1,0.22148271553519372,0.8463462266547723
2129,FixedNumbersBaseline,1,2,2,0.18474802165764267,0.7089649222382708
2130,FixedNumbersBaseline,0,1,1,0.22148271553519372,0.8463462266547723
2131,FixedNumbersBaseline,1,1,1,0.18474802165764267,0.7089649222382708
2132,FixedNumbersBaseline,0,1,1,0.22148271553519372,0.8463462266547723
2133,FixedNumbersBaseline,1,1,2,0.18474802165764267,0.7089649222382708
2134,FixedNumbersBaseline,0,0,0,0.22148271553519372,0.8463462266547725
2135,FixedNumbersBaseline,1,1,1,0.18474802165764267,0.7089649222382708
2136,FixedNumbersBaseline,0,0,1,0.22148271553519372,0.8463462266547722
2137,FixedNumbersBaseline,1,1,1,0.18474802165764267,0.7089649222382708
2138,FixedNumbersBaseline,0,0,0,0.22148271553519372,0.8463462266547723
2139,FixedNumbersBaseline,0,2,2,0.22148271553519372,0.8463462266547722
2140,FixedNumbersBaseline,0,0,1,0.22148271553519372,0.8463462266547725
2141,FixedNumbersBaseline,0,0,0,0.2214827155351937,0.8463462266547725
2142,FixedNumbersBaseline,2,2,2,0.14801332778009166,0.571583617821769
2143,FixedNumbersBaseline,2,3,4,0.14801332778009166,0.571583617821769
2144,FixedNumbersBaseline,1,1,2,0.18474802165764267,0.7089649222382708
2145,FixedNumbersBaseline,0,0,1,0.22148271553519372,0.8463462266547725
2146,FixedNumbersBaseline,0,0,1,0.22148271553519372,0.8463462266547723
2147,FixedNumbersBaseline,1,2,2,0.18474802165764267,0.7089649222382708
2128,HistoricalTop6Baseline,0,0,0,0.10787385733497001,0.3736653581791093
2129,HistoricalTop6Baseline,0,0,0,0.10841799854719192,0.37631320623684106
2130,HistoricalTop6Baseline,0,3,3,0.10668049080131353,0.3681307956618528
2131,HistoricalTop6Baseline,1,1,1,0.1082194014382889,0.3754428385696561
2132,HistoricalTop6Baseline,0,1,1,0.10747744615545947,0.3717787817850464
2133,HistoricalTop6Baseline,0,0,1,0.10800379796761374,0.37434391426036534
2134,HistoricalTop6Baseline,0,2,3,0.10695460548600082,0.36939561720541025
2135,HistoricalTop6Baseline,0,1,1,0.10799422291367419,0.3743301265091029
2136,HistoricalTop6Baseline,0,0,0,0.10756168104508851,0.3721580000983136
2137,HistoricalTop6Baseline,0,0,0,0.10791604011277293,0.3738181343571537
2138,HistoricalTop6Baseline,0,0,0,0.1075010555841502,0.3718638075605732
2139,HistoricalTop6Baseline,1,1,1,0.10746234560083662,0.3718646193907524
2140,HistoricalTop6Baseline,0,0,1,0.1078162983428177,0.37340594430296553
2141,HistoricalTop6Baseline,0,0,0,0.10755553890955998,0.37212714991102985
2142,HistoricalTop6Baseline,1,1,1,0.10796024333454504,0.3741841179549163
2143,HistoricalTop6Baseline,2,3,4,0.1069325172377979,0.3694273299779953
2144,HistoricalTop6Baseline,0,1,1,0.1079337375928659,0.3740394863632868
2145,HistoricalTop6Baseline,0,0,0,0.1077755410051455,0.37317073901973596
2146,HistoricalTop6Baseline,1,3,3,0.10705581235398898,0.3699573418134785
2147,HistoricalTop6Baseline,0,0,1,0.10795344490051845,0.3741026462442373
2128,Recent20HotBaseline,1,1,1,0.10869802165764267,0.3700862413275122
2129,Recent20HotBaseline,0,3,4,0.1069439400249896,0.38883357851053874
2130,Recent20HotBaseline,0,0,0,0.11253679716784676,0.3865462548484316
2131,Recent20HotBaseline,1,1,1,0.11103067471886714,0.3802092635914812
2132,Recent20HotBaseline,1,2,3,0.10568577675968345,0.361710910490199
2133,Recent20HotBaseline,0,1,1,0.11511740941274469,0.4017826604757697
2134,Recent20HotBaseline,1,1,1,0.11887353186172428,0.4501155896359308
2135,Recent20HotBaseline,1,2,2,0.10735720533111205,0.3651310346418291
2136,Recent20HotBaseline,0,1,1,0.1090286339025406,0.36721457757829795
2137,Recent20HotBaseline,0,1,1,0.11637557267805079,0.43380420643840417
2138,Recent20HotBaseline,0,1,1,0.11587965431070389,0.4573984015788982
2139,Recent20HotBaseline,1,2,2,0.11228883798417327,0.41849609675404714
2140,Recent20HotBaseline,0,1,1,0.11645822573927529,0.4338641678164614
2141,Recent20HotBaseline,1,2,2,0.10869802165764267,0.4002553251650439
2142,Recent20HotBaseline,2,3,3,0.1069439400249896,0.3937627536443639
2143,Recent20HotBaseline,0,0,1,0.12013169512703042,0.43369421733614
2144,Recent20HotBaseline,1,2,2,0.10285720533111203,0.34325321652777774
2145,Recent20HotBaseline,0,2,2,0.10878067471886715,0.3776923315898211
2146,Recent20HotBaseline,1,1,1,0.12037965431070388,0.4823343303761883
2147,Recent20HotBaseline,2,2,2,0.10568577675968348,0.39049772617752293
2128,Recent50HotBaseline,1,2,2,0.10494410329029573,0.36020289139257433
2129,Recent50HotBaseline,1,2,2,0.10721430737192837,0.3707461721511687
2130,Recent50HotBaseline,1,2,3,0.1035540624739692,0.3517759906942999
2131,Recent50HotBaseline,0,0,0,0.11176794002498958,0.387587656967815
2132,Recent50HotBaseline,2,2,2,0.10292516451478549,0.350842753678624
2133,Recent50HotBaseline,1,1,1,0.10827961349437736,0.37185542094270774
2134,Recent50HotBaseline,0,0,0,0.11633479716784674,0.4273717762924233
2135,Recent50HotBaseline,1,1,1,0.1074523481882549,0.36886570301061633
2136,Recent50HotBaseline,1,2,2,0.1060094094127447,0.36206818224783177
2137,Recent50HotBaseline,1,2,3,0.10603585839233653,0.37072316141918554
2138,Recent50HotBaseline,0,0,0,0.11211177675968347,0.38939473865975177
2139,Recent50HotBaseline,0,0,1,0.11061594002498959,0.3866405741116136
